Code,Name,PSABDescription
17011,Land and Land Improvements,"A capital asset account that reflects the acquisition value of land owned by a school district or charter school. If land is purchased, this account includes the purchase price and costs such as legal fees, filling and excavation costs, and other associated improvement costs incurred to put the land in condition for its intended use. If land is acquired by gift, the account reflects its fair value at the time of acquisition. Further, permanent improvements to land, such as grading and fill, should be accounted for in this account. Land and land improvements are considered non-exhaustible assets owing to their significantly long expected useful life. Non-exhaustible assets are not to be depreciated."
17021,Site Improvement,"A capital asset account that reflects the value of non-permanent improvements to building sites, other than buildings, that adds value to land. Examples of such improvements are fences, retaining walls, sidewalks, pavements, gutters, tunnels and bridges. If the improvements are purchased or constructed, this account contains the purchase or contract price. If improvements are obtained by gift, it reflects the fair value at the time of acquisition. Site improvements are improvements that have a limited useful life. Because these improvements decrease in their value/usefulness over time, it is appropriate to depreciate these assets. Therefore, all capitalized site improvements should be depreciated over their expected useful life, using 17022 (Accumulated Depreciation on Site Improvements)."
17022,Accumulated Depreciation on Site Improvements,Accumulated amounts for the depreciation of site improvements. This is a contra-asset account – the net balance will be a credit.
17111,Buildings and Building Improvements,"A capital asset account that reflects the acquisition value of permanent structures used to house persons and property owned by the school district or charter school. If buildings are purchased or constructed, this account includes the purchase or contract price of all permanent buildings and the fixtures attached to and forming a permanent part of such buildings. This account includes all building improvements, including upgrades made to building wiring for technology. If buildings are acquired by gift, the account reflects their fair value at the time of acquisition."
17112,Accumulated Depreciation on Buildings and Building Improvements,Accumulated amounts for the depreciation of buildings and building improvements. This is a contra-asset account – the net balance will be a credit.
17211,Machinery and Equipment,"Tangible property of a more or less permanent nature, other than land, buildings, or improvements thereto, that is useful in carrying on operations. Examples are machinery, tools, trucks, cars, buses, computers, purchased software, furniture, and furnishings. Machinery and equipment under $5,000 are treated as supplies and should be coded to the appropriate supply account in the 56100 series."
17212,Accumulated Depreciation on Machinery and Equipment,Accumulated amounts for the depreciation of machinery and equipment. This is a contra-asset account – the net balance will be a credit.
17311,Works of Art and Historical Treasures,Individual items or collections of items that are of artistic or cultural importance.
17312,Accumulated Depreciation on Works of Art and Historical Collections,Accumulated amounts for the depreciation (as applicable) of works of art and historical treasures. This is a contra-asset account – the net balance will be a credit.
17511,Construction in Progress,"The cost of construction work undertaken but not yet completed. When construction on the asset is completed, the accumulated balance should be transferred to the appropriate Fixed Asset account and depreciation charges should commence at that time."
18000,PROVISIONS FOR LONG TERM DEBT,Special appropriation for the defeasance of bonds. Consult with your auditor before using this account.
19000,OTHER ASSETS,"This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below."
19011,Deposits,"Funds deposited by the school district or charter school as prerequisite to receiving services, goods, or both."
19012,Deferred Expenditures/Expenses,Certain disbursements that are made in one period but are more accurately reflected as an expenditure/expense in the next fiscal period.
19013,Capitalized Bond and Other Debt Issuance Costs,"Represents certain bond and other debt issuance costs, including lease-purchase debt issuance costs that are capitalized for the purpose of accounting for the cost/valuation basis of capital assets."
19014,Unamortized Discounts on Issuance of Bonds,Represents that portion of the deficit of bond proceeds under the par value and that remains to be amortized over the remaining life of such bonds. Bonds sold at a Premium should be recorded in account 26013 (Unamortized Premiums on the Issuance of Bonds).
19099,Other Current Assets,"Current assets not provided for elsewhere. BALANCE SHEET OBJECTS: LIABILITIES OVERVIEW For Liability accounts the first character is always 2. The second digit is a categorizer for grouping like accounts and functions as a header or description for the detail accounts to follow. The third, fourth, and fifth digits are used for individual accounts containing transactions. The identified Liability accounts and a description of each are noted below. Additional accounts can be added by school districts and charter schools based upon their individual needs."
21000,PAYABLES,"This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below."
21011,Accounts Payable,"Liabilities on open account owing to private persons, firms or corporations for goods and services received by a school district or charter school (but not including amounts due to other funds of the same school district or charter school or to other governmental units)."
21012,Judgments Payable,"Amounts due to be paid by a school district or charter school as the result of court decisions, including condemnation awards paid for private property taken for public use."
21013,Warrants Payable,Amounts due to designated payees – in the form of a written order drawn by the school district or charter school – directing the school district or charter school treasurer to pay a specific amount.
21100,Inter-Governmental Accounts Payable,"Amounts owed by the reporting school district or charter school to another governmental unit. It is recommended that separate accounts be established for each interagency payable. If separate accounts are established within the 21100 series, this account should be used as a “roll-up” account for accumulation of totals. In this case, no entries should be posted to this account."
22000,CONTRACTS AND CONSTRUCTION PAYABLE,"This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below."
22011,Contracts Payable,"Amounts due on contracts for assets, goods, and services received by a school district or charter school."
22012,Construction Contracts Payable—Retainage,"Liabilities on account of construction contracts for that portion of the work that has been completed but on which part of the liability has not been paid pending final inspection, the lapse of a specified time period, or both. The unpaid amount is usually a stated percentage of the contract price."
22013,Construction Contracts Payable,Amounts due from a school district or charter school on contracts for constructing buildings and other structures and other improvements.
23000,ACCRUED LIABILITIES,"This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below."
23011,Accrued Salaries and Benefits,Salary and fringe benefit costs incurred during the current accounting period that are not payable until a subsequent accounting period.
23021,Accrued Annual Requirement Contribution Liability,A liability arising from payments not made to pension funds. This amount represents any difference between the actuarially determined annual required contribution and actual payments made to the pension fund.
23031,Interest Payable,Interest due within one year.
23100,Payroll Deductions and Withholdings,"Amounts deducted from employees’ salaries for withholding taxes and other purposes. District-paid benefits amounts payable also are included. A separate liability account may be used for each type of benefit. If separate accounts are established within the 23100 series, this account should be used as a “roll-up” account for accumulation of totals. In this case, no entries should be posted to this account."
24000,DUE TO ACCOUNTS,"This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below."
24100,Inter-Fund Loans Payable,"A liability account used to record a debt owed by one fund to another fund in the same governmental unit. It is recommended that separate accounts be established for each inter- fund loan. If separate accounts are established within the 24100 series, this account should be used as a “roll-up” account for accumulation of totals. In this case, no entries should be posted to this account."
24200,Inter-Fund Accounts Payable,"A liability account used to indicate amounts owed by a particular fund for services rendered. It is recommended that separate accounts be established for each inter-fund payable. If separate accounts are established within the 24200 series, this account should be used as a “roll-up” account for accumulation of totals. In this case, no entries should be posted to this account."
25000,UNEARNED REVENUE,A liability account that represents revenues collected before they become due.
26000,BONDS AND OTHER DEBT,"This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below."
26011,Matured Bonds Payable,Bonds that have reached or passed their maturity date but that remain unpaid.
26012,Bonds Payable—Current,Bonds that have not reached or passed their maturity date but are due within one year or less. Used only in Proprietary or Fiduciary funds.
26013,Unamortized Premiums on Issuance of Bonds,Represents that portion of the excess of bond proceeds over the par value that remains to be amortized over the remaining life of such bonds. Bonds sold at a discount should be recorded in account 19014 (Unamortized Discounts on the Issuance of Bonds).
26014,Accreted Interest,"An account that represents interest that is accrued on deep discount bonds. This account should be used by school districts that issue capital appreciation bonds. Such bonds are usually issued at a deep discount from the face value, and no interest payment is made until maturity. Note: Under full accrual accounting, the district is required to accrete the interest on the bonds over the life of the bonds. (Accretion is the process of systematically increasing the carrying amount of the bond to its estimated value at the maturity date of the bond.) To calculate accreted interest, the district should determine the effective interest rate – using the present value, the face value (future value), and the period of the bond – and multiply the effective interest rate by the book value of the debt at the end of the period. The accreted interest may be maintained in this account or transferred each period to increase the related outstanding debt liability."
26015,Unamortized Gains/Losses on Debt Refundings,"An account that represents the difference between the reacquisition price and the net carrying amount of old debt when a current or advance refunding of debt occurs. The unamortized loss amount should be deferred and amortized as a component of interest expense in a systematic and rational manner over the remaining life of the old debt or the life of the new debt, whichever is shorter. This deferred amount should be reported as a deduction from or an addition to the new debt liability. Note: This account should be used only when defeasance of debt occurs for Proprietary Funds."
26021,Loans Payable,"Short-term obligations representing amounts borrowed for short periods of time, usually evidenced by notes payable or warrants payable."
26031,Lease Obligations—Current,Capital lease obligations due within one year.
26041,Bonds Payable,Bonds that have not reached or passed their maturity date and that are not due within one year.
26061,Capital Lease Obligations,Amounts remaining to be paid on capital lease agreements.
28000,COMPENSATED ABSENCES,"This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below."
28011,Compensated Absences—Current,Compensated absences that will be paid within one year.
28041,Compensated Absences – Long Term,Amounts remaining beyond the period of one year to be paid on compensated absences balances.
29000,OTHER LIABILITIES,"This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below."
29011,Deposits Payable,"Liability for deposits received as a prerequisite to providing or receiving services, goods, or both."
29012,Other Current Liabilities,Other current liabilities not provided for elsewhere within the Liability accounts.
29021,Arbitrage Rebate Liability,Liabilities arising from arbitrage rebates to the IRS from bond financing.
29099,Other Long-Term Liabilities,"Other long-term liabilities not provided for in other Liability accounts. This account represents amounts due after more than one year from the balance sheet date for advances from other funds and certain miscellaneous liabilities, including Workers compensation, self-funded insurance, and legal claims and judgments. BALANCE SHEET OBJECTS: FUND BALANCES (EQUITY) OVERVIEW For Fund Equity accounts the first character is always 3. The second digit is a categorizer for grouping like accounts and functions as a header or description for the detail accounts to follow. The third, fourth, and fifth digits are used for individual accounts containing transactions. The identified Fund Equity accounts and a description of each are noted below. Additional accounts can be added by school districts and charter schools based upon their individual needs."
32000,FUND BALANCE (EQUITY) ACCOUNTS,"This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below."
32011,Reserve for Inventories,"A reserve representing that portion of a fund balance segregated to indicate that assets equal to the amount of the reserve are invested in inventories and are, therefore, not available for appropriation. The use of this account is optional unless the purchases method of accounting for inventory is used."
32012,Reserve for Prepaid Items,"A reserve representing that portion of a fund balance segregated to indicate that assets equal to the amount of the reserve are tied up and are, therefore, not available for appropriation. The use of this account is optional."
32013,Reserve for Encumbrances,A reserve representing that portion of a fund balance segregated to provide for unliquidated encumbrances. This is a contra-asset account – the net balance will be a credit. Separate accounts may be established for current encumbrances and prior-year encumbrances.
32100,Other Reserved Fund Balance,"A reserve representing that portion of a fund balance segregated to indicate that assets equal to the amount of the reserve are obligated and are, therefore, not available for appropriation. It is recommended that a separate reserve be established for each special purpose. One example of a special purpose is restricted Federal programs."
32200,Designated Fund Balance,A designation representing that portion of a fund balance segregated to indicate that assets equal to the amount of the designation have been earmarked by the governing board or senior management for a bona fide purpose in the future.
32300,Unreserved Fund Balance,"The excess of the assets of a fund over its liabilities, fund reserves, and designations."
32400,"Invested in Capital Assets, Net of Related Debt","This account is used to record the net asset component invested in capital assets, net of related debt, which represents total capital assets less accumulated depreciation less debt directly related to capital assets. This account is to be used in Proprietary funds only."
32500,Restricted Net Assets,This account is used to record the net assets component—restricted net assets—which represents net assets restricted by sources internal or external to the organization. This account is to be used in Proprietary funds only.
32600,Unrestricted Net Assets,"This account is used to record the net asset component—an unrestricted net asset—which represents net assets not classified in accounts 32400 (Invested in Capital Assets, Net of Related Debt) and 32500 (Restricted Assets). This account is to be used in Proprietary funds only. REVENUE OBJECTS OVERVIEW The primary objective of revenue coding is to maintain information on source of revenue. Revenues and reimbursements from various sources must be accounted for and properly classified in the accounting system. Using the modified accrual basis of accounting, revenues shall be recorded when they are expected to be received within the current reporting fiscal period. For purposes of preparing the year-end financial statements and inclusions in the annual audit, various receivables are to be recognized. Governmental Funds - Revenues: The primary level of governmental fund revenue classification is by fund and source. Normally, the governmental funds recognize several sources of revenue, including taxes, inter- governmental revenues, and charges for services. Proprietary Funds - Revenues: The proprietary funds share the same primary revenue classifications as the governmental funds by source. One important distinction is that school districts and charter schools also should look to similar business organizations for industry practice and other guidance in classifying proprietary fund revenue sources. For Revenue accounts the first character is always 4. The second digit refers to the ""Revenue type"". The major revenues types are as follows: 1."
41000,REVENUE FROM LOCAL SOURCES,"This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below."
41100,Taxes Levied/Assessed by the School District,"Compulsory charges levied by the school district to finance services performed for the common benefit. Separate accounts have been established for the 41100 series. This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below."
41110,Ad Valorem Taxes – School District,"Taxes levied by a school district on the assessed value of real and personal property located within the school district that, within legal limits, is the final authority in determining the amount to be raised for school purposes. Separate accounts may be established for real property and for personal property. If separate accounts are established under this account, it becomes a “roll-up” account for the accumulation of totals; in which case no entries should be posted to this account."
41113,Oil and Gas Taxes,Ad valorem taxes upon oil and gas production within a school district. Include all taxes credited by County/State Treasurer.
41114,Copper Production,Ad valorem taxes upon copper production within a school district. Include all taxes credited by County/State Treasurer.
41115,Other Special Revenue/Taxes,Other special revenues or taxes not otherwise classified.
41280,Revenue in Lieu of Taxes,Bond/TIF (Tax Increment Financing).
41300,Tuition,"Revenue received by a school district or charter school for educating individuals who reside outside the State of New Mexico or are the children of foreign nationals. These students may NOT be included in NOVA reports and are not included in a district’s membership when calculating the State Equalization Guarantee. This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below."
41310,Tuition from Foreign Nationals,Revenue received from foreign nationals to compensate a school district or charter school for providing education to their children. Revenue received should be credited to Fund 11000 (Operational). These students may NOT be included in NOVA reports and are not included in a district’s membership when calculating the State Equalization Guarantee.
41331,Tuition from School Districts outside the State,Revenue received from School Districts outside the state to compensate a local school district or charter school for providing education to their children. Revenue received should be credited to Fund 11000 (Operational). These students may NOT be included in NOVA reports and are not included in a district’s membership when calculating the State Equalization Guarantee.
41500,Investment Income,"Revenue from short-term and long-term investments, e.g. interest, dividends, rent from property held for investments. Such receipts shall be credited to the fund that provided the cash for investment. Earnings from investments from the Operational sub-fund shall be used for capital outlay expenditures. Separate accounts may be established for the 41500 series. This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below."
41510,Interest on Investments,"All interest revenue on investments in U.S. Treasury and agency obligations, commercial paper, savings accounts, time certificates of deposit, mortgages, or other interest-bearing instruments. This would also include interest on demand deposits."
41520,Dividends on Investments,Revenue from dividends on stocks held for investment.
41530,Net Increase in the Fair Value of Investments,"Gains recognized from the sale of investments or changes in the fair value of investments. Gains represent the excess of sale proceeds (or fair value) over cost or any other basis at the date of sale (or valuation). All recognized investment gains may be accounted for by using this account; however, interest earnings from short-term investments may be credited to account 41510 (for tracking purposes only). For financial reporting purposes, GASB Statement 31 requires that all investment income, including the changes in fair value of investments, be reported as revenue in the operating statement."
41531,Realized Gains (Losses) on Investments,"Gains or losses recognized from the sale of investments. Gains represent the excess of sale proceeds over cost or any other basis at the date of sale. Losses represent the excess of the cost or any other basis at the date of sale over sales value. For financial reporting purposes, the net of all realized and unrealized investment gains and losses should be reported as a single line in the financial statements; however, this account and the following account may be used for internal tracking purposes."
41532,Unrealized Gains (Losses) on Investments,"Gains or losses recognized from changes in the value of investments. Gains represent the excess of fair value over cost or any other basis at the date of valuation. Losses represent the excess of the cost or any other basis at the date of valuation over fair value. For financial reporting purposes, the net of all realized and unrealized investment gains and losses should be reported as a single line in the financial statements; however, this account and the previous account may be used for internal tracking purposes."
41540,Investment Income from Real Property,"Revenue for rental, use charges, and other income on real property held for investment purposes."
41600,Food Services,"Revenue for dispensing food to students and adults. Separate accounts have been established for the 41600 series. This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below."
41603,Fees – Adults/Food Service,"Revenue from dispensing food to adults, including teachers, parents, and adult education students."
41604,Fees – Students/Food Service,Revenue from dispensing food to students. Federal reimbursements are not entered here. They should be recorded under revenue account 44202.
41605,Fees – Other/Food Service,"Revenue from dispensing food to outside of regular food services, e.g. catering, a la carte sales."
41700,District Activities,"Revenue resulting from co-curricular and extra-curricular activities controlled and administered by the school district or charter school. These revenues are not to be commingled with the proceeds from student activities. Separate accounts have been established for the 41700 series. This is a “roll-up” account for accumulation of totals. Entries are not posted to this “roll-up” account, but to the accounts listed below."
41701,Fees - Activities,Revenue from students for memberships in school clubs or organizations.
41702,Fees - Educational,"Revenue from fees charged to students, e.g. lab fees, tutoring fees."
41705,Fees - Users,Revenue from patrons of a school-sponsored activity such as a concert or a football game.
41706,Fees – Summer School,Revenue from students relating to summer school programs.
41900,Other Revenue from Local Sources,"Other revenue from local sources not classified above. Separate accounts have been established within the 41900 series. This is a “roll-up” account for accumulation of totals. Entries are not posted to this “roll-up” account, but to the accounts listed below."
41910,Rental Income,"Earnings from rents and leases from school-owned property and/or facilities. Revenues received shall be credited to Fund 11000 (Operational). Any Teacherage rental shall be credited to Fund 12000 (Teacherage). Rental of property held for income purposes is not recorded here, but is recorded in account 41540 (Investment Income from Real Property)."
41911,Royalties,"Revenue from royalties (i.e., publications, recordings, mineral and oil royalties generated from production on school owned properties, capital credits, and utility co-ops)."
41920,Contribution and Donations from Private Sources (Non-Categorical),"Revenue associated with contributions, gifts, bequests, and donations made by private organizations. These organizations include, but are not limited to, educational foundations, PTA/PTO organizations, campus booster clubs, and private individuals. This code should be used to record on-behalf of payments made by private organizations to school district or charter school personnel (e.g., stipends paid to teachers or other school district or charter school staff)."
41921,Instructional – Categorical,"Gifts, bequests and any other revenue received from local sources for a specified purpose related to Instruction."
41922,Instructional Support – Categorical,"Gifts, bequests and any other revenue received from local sources for a specified purpose related to Instructional Support."
41923,Administration – Categorical,"Gifts, bequests and any other revenue received from local sources for a specified purpose related to Administration."
41924,Flow-through Grants from Districts to Charter Schools,
41931,Special Building - Local,"Proceeds from the sale of property for which the local school board has requested separate accountability. This account may also be used to receipt gifts or bequests, and student vocational construction for large capital outlay projects."
41953,Insurance Recoveries,"Insurance recoveries for the replacement of personal, real property, and/or equipment."
41955,Special Assessments (REC),Regional Education Cooperative (REC) contract reimbursements to school districts and charter schools for services rendered.
41980,Vendor Refund of Prior-Year’s Expenditures,"Expenditures that occurred last year that are refunded this year. (e.g. refunds from prior year expenditures for overpayments, double payments, or returned merchandise) If the refund and the expenditure occurred in the current year, reduce this year’s expenditures, as prescribed by GAAP. Includes refunds from prior year expenditures for overpayments, double payments, or returned merchandise. Do not include refunds for current year expenditures; rather credit the refund to the original expenditure account as prescribed by GAAP. Do not include RfR payments from prior year! Use object 44504 for federal flow-through RfRs prior year Use object 43204 for state flow-through RfR prior year"
43000,REVENUE FROM STATE SOURCES,"This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below."
43100,Unrestricted Grants – State Sources,"Revenue recorded as grants by the school district or charter school from state funds that can be used for any legal purpose desired by the school district or charter school without restriction. Separate accounts have been established within the 43100 series. This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below."
43101,State Equalization Guarantee,Revenue from the State Equalization Guarantee distributed by the State.
43104,Emergency - Supplemental,A non-categorical distribution to school districts and charter schools that are in financial need.
43120,Charter School Administrative Revenue,2% administrative revenue retained by the district from charter school program costs.
43200,Restricted Grants – State Sources,"Revenue recorded as grants by the school district or charter school from state funds that must be used for a categorical or specific purpose. If such money is not completely used by the school district or charter school, it must be returned, usually to the state. Separate accounts have been established for the 43200. This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below."
43202,State Flow-through Grants,Revenue from State appropriated grants that flow through PED.
43203,State Direct Grants,Revenues received from state agencies (other than PED).
43204,State Flow-Through Prior Year,Only for funds 27nnn series and 31400 and 31700 series. State revenue for funding awarded in prior year(s).
43205,Emergency – Capital Outlay,Distributions to school districts and charter schools to be used for unforeseen capital outlay emergencies.
43206,Transportation Distribution,Distribution for the purpose of providing transportation to and from schools for pupils in grades K-12 and qualified special education students. Revenues shall be credited to Fund 13000 (Transportation).
43207,Instructional Materials 50% Core/Basal Allocation,Revenue credited to the district for purchases of instructional materials on the State adopted list.
43208,Tuition for Students Attending School Out-of-State,Distribution made to school districts paying for students attending school out-of-state because schools are not reasonably available within their residential district.
43209,PSCOC Awards,State appropriated revenue allocated by the Public School Capital Outlay Council.
43210,Special Capital Outlay – State,"State grants and matching revenue received from other State agencies for specific capital outlay purposes (i.e., energy conservation, construction of recreational facilities, paving)."
43211,Instructional Materials 50% Supplementary Allocation Revenue received for cash,"purchases of instructional materials, not on the State adopted list."
43212,Indirect Costs (State Flow-through Grants),Indirect cost charged to a state Flow- through program and then transferred to the Operational sub-fund as reimbursement for administering the program. Indirect cost charged to a program is determined by applying the indirect cost rate approved by PED or a negotiated rate.
43213,Indirect Costs (State Direct Grants),Indirect cost charged to other grants and then transferred to the Operational sub-fund as reimbursement for administering the program. Indirect cost charged to a program is determined by applying the indirect cost rate approved by PED or a negotiated rate.
43214,Inter-Governmental Contract Revenue/REC,Revenue from other school districts and Rural Education Cooperatives (REC) and governmental entities through a contract or joint powers agreement.
43215,Inter-Governmental Contract Revenue,Revenue from other school districts and charter schools through a contract or joint powers agreement.
43216,Fees – Governmental Agencies,Revenue from other governmental agencies.
44000,REVENUE FROM FEDERAL SOURCES,"This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below."
44100,Unrestricted Grants – Federal Direct,"Revenues direct from the federal government as grants to the school district or charter school that can be used for any legal purpose desired by the school district or charter school without restriction. Separate accounts have been established within the 44100 series to identify the specific nature of the revenue item. This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below."
44103,Impact Aid,Revenue received by the school district or charter school through Title VIII.
44105,IRS Interest Reimbursement (only used in Fund 41000),
44107,Indirect Costs (Federal Direct Grants),Indirect cost charged to a federal direct program and then transferred to the Operational fund as reimbursement for administering the federal program. Indirect cost charged to a federal program is determined by applying the indirect cost rate approved by PED or a negotiated rate.
44108,DOE Los Alamos/DOD,"Revenue received by the Los Alamos school district from the U.S. Department of Energy, or by school districts from the U.S. Department of Defense."
44200,Unrestricted Grants – Federal Flow-through,"Revenues from the federal government through the state as grants that can be used for any legal purpose desired by the school district or charter school without restriction. Separate accounts have been established within the 44200 series to identify the specific nature of the revenue item. This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below."
44204,Forest Reserve,"Income received for the school district's share of forest reserve funds distributed by the Local Government Division of the Department of Finance and Administration in accordance with Section 22-8-33 NMSA, 1978 Compilation."
44205,Indirect Costs (Federal Flow-through Grants),Indirect cost charged to a federal Flow- through program and then transferred to the Operational fund as reimbursement for administering the federal program. Indirect cost charged to a federal program is determined by applying the indirect cost rate approved by PED. Only in fund 11000 available.
